"#","Reference","Qty","Value","Footprint","DNP"
"1","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12","12","1N4007","Diode_SMD:D_SMB",""
"2","FID1, FID2, FID3, FID4","4","Fiducial","Fiducial:Fiducial_1mm_Mask2mm",""
"3","H1, H2, H3, H4","4","M3","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
"4","J1","1","band select","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical",""
"5","J2","1","Output","Library:Coax_terminal",""
"6","J3","1","Input","Library:Coax_terminal",""
"7","LP1","1","6m","Library:LPF-6",""
"8","LP2","1","12/10m","Library:LPF-6",""
"9","LP3","1","17/15m","Library:LPF",""
"10","LP4","1","30/20m","Library:LPF",""
"11","LP5","1","40m","Library:LPF",""
"12","LP6","1","80m","Library:LPF",""
"13","LP7","1","160m","Library:LPF",""
"14","RL1, RL2, RL3, RL4, RL5, RL6, RL7, RL8, RL9, RL10, RL11, RL12","12","G2RL-2-DC12","Relay_THT:Relay_DPDT_Omron_G2RL",""
